text,sentiment
2am feedings for the baby are fun when he is all smiles and coos,positive
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive
I really really like the song Love Story by Taylor Swift,positive
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive
"the free fillin` app on my ipod is fun, im addicted",positive
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive
i hope unni will make the audition . fighting dahye unni !,positive
 That`s very funny.  Cute kids.,positive
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive
im an avid fan of **** magazine and i love your magazines,positive
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½,positive
 romance zero is funny,positive
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
  He`s awesome... Have you worked with him before? He`s a good friend.,positive
Chilliin,positive
 a celtics-lakers rematch sounds better don`t you think? lol,positive
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
 lucky kid...i so wanna see loserville  pity im in oz....,positive
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive
Happy Mothers day to all you Mums out there,positive
 We saw that in none 3D - the baddie`s the best,positive
4am. And Im on the beach. Pretty,positive
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
" woof, I wish I was allowed to go",positive
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive
 hahaa your awesomee !,positive
holy smokes! star trek was freaking awesomeeeee,positive
